B2,G,DO,Dz,P1,P2,E
0.005,0.002,5,0.5,100,10,0.79466009896
0.0075,0.002,5,0.5,100,10,1.30668533519
0.01,0.002,5,0.5,100,10,1.56549009743
0.015,0.002,5,0.5,100,10,1.74337854203
0.02,0.002,5,0.5,100,10,1.78947156288
0.025,0.002,5,0.5,100,10,1.7823812601
0.03,0.002,5,0.5,100,10,1.74667199456
0.02,0.002,5,0.0,100,10,0.0
0.02,0.002,5,0.1,100,10,0.346016525868
0.02,0.002,5,0.2,100,10,0.696187793454
0.02,0.002,5,0.3,100,10,1.05259617991
0.02,0.002,5,0.4,100,10,1.41678387565
0.02,0.002,5,0.5,100,10,1.78947156288
0.02,0.002,5,0.6,100,10,2.1706023964
0.02,0.0005,5,0.5,100,10,0.233253544231
0.02,0.001,5,0.5,100,10,0.766124423026
0.02,0.0015,5,0.5,100,10,1.30056666781
0.02,0.002,5,0.5,100,10,1.78947156288
0.02,0.0025,5,0.5,100,10,2.19934776007
0.02,0.003,5,0.5,100,10,2.47085120592
0.02,0.002,4,0.5,100,10,2.12192458916
0.02,0.002,5,0.5,100,10,1.78947156288
0.02,0.002,6,0.5,100,10,1.46079677818
0.02,0.002,7,0.5,100,10,1.17340830051
0.02,0.002,8,0.5,100,10,0.93290022713
0.02,0.002,9,0.5,100,10,0.734810632544
0.02,0.002,5,0.5,20,10,0.058021283909
0.02,0.002,5,0.5,30,10,0.162934370862
0.02,0.002,5,0.5,40,10,0.317412245942
0.02,0.002,5,0.5,50,10,0.507778602432
0.02,0.002,5,0.5,60,10,0.729144566258
0.02,0.002,5,0.5,70,10,0.971386845
0.02,0.002,5,0.5,80,10,1.2339644735
0.02,0.002,5,0.5,90,10,1.4967558419
0.02,0.002,5,0.5,100,5,1.30821800898
0.02,0.002,5,0.5,100,15,2.11191842931
0.02,0.002,5,0.5,100,20,2.36729658135
0.02,0.002,5,0.5,100,25,2.62924152858
0.02,0.002,5,0.5,100,30,2.83503469293
0.02,0.002,5,0.5,100,40,3.20642714865
0.02,0.002,5,0.5,100,50,3.58958365594
0.02,0.002,5,0.5,100,60,3.95277287982
0.02,0.002,5,0.5,100,70,4.32370124599
