t	I
0.038148	0.027355
0.114443	0.032728
0.190738	0.045104
0.267033	0.068821
0.343328	0.11074
0.419623	0.18135
0.495918	0.296009
0.572213	0.474999
0.648508	0.744529
0.724804	1.138177
0.801099	1.69154
0.877394	2.429515
0.953689	3.347242
1.029984	4.379329
1.106279	5.375678
1.182574	6.121219
1.258869	6.408109
1.335164	6.137517
1.41146	5.385793
1.487755	4.360693
1.56405	3.28884
1.640345	2.335798
1.71664	1.582243
1.792935	1.039135
1.86923	0.682118
1.945525	0.475894
2.02182	0.3841
2.098116	0.37642
2.174411	0.429774
2.250706	0.524941
2.327001	0.647071
2.403296	0.784881
2.479591	0.926864
2.555886	1.062497
2.632181	1.183517
2.708476	1.280791
2.784771	1.346174
2.861067	1.376821
2.937362	1.372632
3.013657	1.334421
3.089952	1.266511
3.166247	1.175466
3.242542	1.067877
3.318837	0.951773
3.395132	0.834876
3.471427	0.721177
3.547723	0.613182
3.624018	0.514548
3.700313	0.427663
3.776608	0.352253
3.852903	0.287606
3.929198	0.233404
4.005493	0.188652
4.081788	0.151866
4.158083	0.121813
4.234379	0.097228
4.310674	0.076728
4.386969	0.059432
4.463264	0.04484
4.539559	0.032161
4.615854	0.02073
4.692149	0.011009
4.768444	0.004426
4.844739	0.002883
4.921035	0.009336
4.99733	0.028253
5.073625	0.065616
5.14992	0.129623
5.226215	0.230615
5.30251	0.380068
5.378805	0.591426
5.4551	0.879991
5.531395	1.25852
5.607691	1.733135
5.683986	2.299075
5.760281	2.93104
5.836576	3.576536
5.912871	4.161135
5.989166	4.601043
6.065461	4.82524
6.141756	4.806406
6.218051	4.572371
6.294347	4.186292
6.370642	3.722367
6.446937	3.247248
6.523232	2.803264
6.599527	2.407712
6.675822	2.064334
6.752117	1.767645
6.828412	1.507045
6.904707	1.27535
6.981003	1.069037
7.057298	0.884599
7.133593	0.720448
7.209888	0.577376
7.286183	0.4554
7.362478	0.353421
7.438773	0.270272
7.515068	0.20403
7.591363	0.152021
7.667659	0.111946
7.743954	0.081928
7.820249	0.059925
7.896544	0.043978
7.972839	0.032614
8.049134	0.024644
8.125429	0.018942
8.201724	0.014739
8.278019	0.011825
8.354314	0.010164
8.43061	0.0095
8.506905	0.009525
8.5832	0.010224
8.659495	0.011773
8.73579	0.014172
8.812085	0.017105
8.88838	0.020141
8.964675	0.022987
9.04097	0.025503
9.117266	0.027518
9.193561	0.028908
9.269856	0.029936
9.346151	0.031243
9.422446	0.033407
9.498741	0.036873
9.575036	0.04253
9.651331	0.052045
9.727626	0.067133
9.803922	0.088554
9.880217	0.116283
9.956512	0.150453
10.032807	0.191377
10.109102	0.238646
10.185397	0.290425
10.261692	0.343494
10.337987	0.394197
10.414282	0.439848
10.490578	0.47981
10.566873	0.5162
10.643168	0.554888
10.719463	0.60769
10.795758	0.694355
10.872053	0.841966
10.948348	1.083989
11.024643	1.459225
11.100938	2.003539
11.177234	2.732788
11.253529	3.619986
11.329824	4.56802
11.406119	5.399425
11.482414	5.89925
11.558709	5.908141
11.635004	5.408007
11.711299	4.534176
11.787594	3.502228
11.86389	2.508758
11.940185	1.674164
12.01648	1.042005
12.092775	0.605285
12.16907	0.332154
12.245365	0.184229
12.32166	0.127228
12.397955	0.133944
12.47425	0.1839
12.550546	0.262728
12.626841	0.360613
12.703136	0.470561
12.779431	0.587837
12.855726	0.70971
12.932021	0.834741
13.008316	0.962611
13.084611	1.095095
13.160906	1.236471
13.237201	1.392983
13.313497	1.57425
13.389792	1.796118
13.466087	2.079978
13.542382	2.447119
13.618677	2.910037
13.694972	3.46166
13.771267	4.063403
13.847562	4.63789
13.923857	5.077809
14.000153	5.274826
14.076448	5.160277
14.152743	4.739991
14.229038	4.094307
14.305333	3.339581
14.381628	2.585745
14.457923	1.910888
14.534218	1.353435
14.610513	0.92027
14.686809	0.600154
14.763104	0.373783
14.839399	0.220586
14.915694	0.121981
14.991989	0.062205
15.068284	0.028905
15.144579	0.013132
15.220874	0.008628
15.297169	0.011019
15.373465	0.017146
15.44976	0.024764
15.526055	0.032349
15.60235	0.038994
15.678645	0.044428
15.75494	0.04874
15.831235	0.052105
15.90753	0.054749
15.983825	0.056779
16.060121	0.058324
16.136416	0.059778
16.212711	0.061459
16.289006	0.063494
16.365301	0.065947
16.441596	0.068575
16.517891	0.071074
16.594186	0.073613
16.670481	0.076517
16.746777	0.07985
16.823072	0.083361
16.899367	0.086427
16.975662	0.0887
17.051957	0.090799
17.128252	0.093583
17.204547	0.097257
17.280842	0.101606
17.357137	0.106426
17.433433	0.111886
17.509728	0.118873
17.586023	0.128338
17.662318	0.140345
17.738613	0.154371
17.814908	0.169969
17.891203	0.186726
17.967498	0.204491
18.043793	0.223229
18.120089	0.241751
18.196384	0.258022
18.272679	0.271311
18.348974	0.282277
18.425269	0.291412
18.501564	0.298801
18.577859	0.304327
18.654154	0.307966
18.730449	0.310652
18.806744	0.313462
18.88304	0.315974
18.959335	0.317462
19.03563	0.318468
19.111925	0.319236
19.18822	0.318495
19.264515	0.314376
19.34081	0.30454
19.417105	0.286517
19.4934	0.259342
19.569696	0.223113
19.645991	0.178504
19.722286	0.128949
19.798581	0.080922
19.874876	0.043322
19.951171	0.029438
20.027466	0.057801
20.103761	0.153516
20.180056	0.351205
20.256352	0.694078
20.332647	1.231682
20.408942	2.011846
20.485237	3.054996
20.561532	4.316627
20.637827	5.644653
20.714122	6.765716
20.790417	7.370638
20.866712	7.274653
20.943008	6.527771
21.019303	5.386382
21.095598	4.159485
21.171893	3.065519
21.248188	2.200061
21.324483	1.567902
21.400778	1.126222
21.477073	0.823588
21.553368	0.615896
21.629664	0.468288
21.705959	0.358472
21.782254	0.273606
21.858549	0.205179
21.934844	0.149224
22.011139	0.103961
22.087434	0.067544
22.163729	0.039547
22.240024	0.019834
22.31632	0.007406
22.392615	0.001554
22.46891	0.001594
22.545205	0.00696
22.6215	0.017533
22.697795	0.033031
22.77409	0.053965
22.850385	0.081727
22.92668	0.117634
23.002976	0.164169
23.079271	0.224867
23.155566	0.304061
23.231861	0.409637
23.308156	0.552773
23.384451	0.747069
23.460746	1.010511
23.537041	1.363631
23.613336	1.825626
23.689631	2.407934
23.765927	3.102098
23.842222	3.866441
23.918517	4.612703
23.994812	5.21318
24.071107	5.537056
24.147402	5.495056
24.223697	5.088248
24.299992	4.412371
24.376287	3.603218
24.452583	2.79289
24.528878	2.074518
24.605173	1.484615
24.681468	1.028049
24.757763	0.693132
24.834058	0.455118
24.910353	0.29187
24.986648	0.18553
25.062943	0.118471
25.139239	0.07852
25.215534	0.057088
25.291829	0.046433
25.368124	0.042314
25.444419	0.04199
25.520714	0.0427
25.597009	0.043537
25.673304	0.044036
25.749599	0.043522
25.825895	0.042542
25.90219	0.041664
25.978485	0.040737
26.05478	0.039963
26.131075	0.039475
26.20737	0.038899
26.283665	0.038347
26.35996	0.03825
26.436255	0.038465
26.512551	0.038805
26.588846	0.039411
26.665141	0.040071
26.741436	0.04048
26.817731	0.040761
26.894026	0.040776
26.970321	0.040054
27.046616	0.038665
27.122911	0.036788
27.199207	0.034254
27.275502	0.031418
27.351797	0.028968
27.428092	0.026881
27.504387	0.024948
27.580682	0.023494
27.656977	0.022693
27.733272	0.022295
27.809567	0.022354
27.885863	0.022984
27.962158	0.023501
28.038453	0.02312
28.114748	0.021908
28.191043	0.019897
28.267338	0.016949
28.343633	0.013631
28.419928	0.010549
28.496223	0.00818
28.572519	0.007935
28.648814	0.011685
28.725109	0.02151
28.801404	0.040467
28.877699	0.071972
28.953994	0.119966
29.030289	0.189895
29.106584	0.287791
29.182879	0.420214
29.259174	0.594922
29.33547	0.819382
29.411765	1.100117
29.48806	1.443203
29.564355	1.850901
29.64065	2.315924
29.716945	2.819671
29.79324	3.331613
29.869535	3.807159
29.94583	4.194202
30.022126	4.443113
30.098421	4.513742
30.174716	4.393153
30.251011	4.102818
30.327306	3.684211
30.403601	3.192116
30.479896	2.681247
30.556191	2.188447
30.632486	1.738069
30.708782	1.345647
30.785077	1.014756
30.861372	0.744547
30.937667	0.531934
31.013962	0.368552
31.090257	0.245153
31.166552	0.154583
31.242847	0.090441
31.319142	0.047159
31.395438	0.020191
31.471733	0.00563
31.548028	0.000269
31.624323	0.001495
31.700618	0.007195
31.776913	0.015786
31.853208	0.02619
31.929503	0.037712
32.005798	0.049789
32.082094	0.061981
32.158389	0.073936
32.234684	0.085189
32.310979	0.095576
32.387274	0.105607
32.463569	0.115891
32.539864	0.126643
32.616159	0.137823
32.692454	0.149278
32.76875	0.16089
32.845045	0.172743
32.92134	0.185141
32.997635	0.19855
33.07393	0.212913
33.150225	0.227098
33.22652	0.240062
33.302815	0.251921
33.37911	0.263125
33.455406	0.273828
33.531701	0.283811
33.607996	0.291958
33.684291	0.297218
33.760586	0.299966
33.836881	0.300787
33.913176	0.299496
33.989471	0.296059
34.065766	0.290404
34.142061	0.282245
34.218357	0.272203
34.294652	0.261225
34.370947	0.249532
34.447242	0.237416
34.523537	0.225218
34.599832	0.212607
34.676127	0.199529
34.752422	0.186513
34.828717	0.173726
34.905013	0.161375
34.981308	0.149974
35.057603	0.139423
35.133898	0.129381
35.210193	0.120088
35.286488	0.111616
35.362783	0.10353
35.439078	0.095639
35.515373	0.087982
35.591669	0.080464
35.667964	0.073087
35.744259	0.065983
35.820554	0.059264
35.896849	0.053013
35.973144	0.047181
36.049439	0.041685
36.125734	0.036689
36.202029	0.032376
36.278325	0.028618
36.35462	0.025163
36.430915	0.02196
36.50721	0.019169
36.583505	0.016924
36.6598	0.015154
36.736095	0.013694
36.81239	0.012446
36.888685	0.011387
36.964981	0.010582
37.041276	0.010095
37.117571	0.009884
37.193866	0.009922
37.270161	0.010228
37.346456	0.010746
37.422751	0.011505
37.499046	0.012615
37.575341	0.01406
37.651637	0.015866
37.727932	0.018147
37.804227	0.020828
37.880522	0.023857
37.956817	0.027279
38.033112	0.030836
38.109407	0.03433
38.185702	0.037992
38.261997	0.041971
38.338293	0.046403
38.414588	0.051568
38.490883	0.05729
38.567178	0.063269
38.643473	0.069666
38.719768	0.076323
38.796063	0.082804
38.872358	0.089322
38.948653	0.095975
39.024949	0.10209
39.101244	0.107041
39.177539	0.110322
39.253834	0.111488
39.330129	0.110456
39.406424	0.106686
39.482719	0.099183
39.559014	0.087594
39.635309	0.072041
39.711604	0.053308
39.7879	0.033497
39.864195	0.01546
39.94049	0.002922
40.016785	0.00127
40.09308	0.018067
40.169375	0.063893
40.24567	0.15263
40.321965	0.302098
40.39826	0.5346
40.474556	0.87511
40.550851	1.348683
40.627146	1.973422
40.703441	2.745744
40.779736	3.624513
40.856031	4.519039
40.932326	5.290576
41.008621	5.784483
41.084916	5.890679
41.161212	5.597295
41.237507	4.999057
41.313802	4.250751
41.390097	3.49507
41.466392	2.821585
41.542687	2.266884
41.618982	1.827858
41.695277	1.484315
41.771572	1.21472
41.847868	0.997946
41.924163	0.818663
42.000458	0.667835
42.076753	0.538098
42.153048	0.425742
42.229343	0.329525
42.305638	0.247877
42.381933	0.180688
42.458228	0.127764
42.534524	0.087087
42.610819	0.056958
42.687114	0.036146
42.763409	0.02288
42.839704	0.015376
42.915999	0.01219
42.992294	0.01211
43.068589	0.014054
43.144884	0.017171
43.22118	0.02093
43.297475	0.024882
43.37377	0.028751
43.450065	0.032563
43.52636	0.036162
43.602655	0.039196
43.67895	0.041584
43.755245	0.043499
43.83154	0.045224
43.907836	0.046969
43.984131	0.048587
44.060426	0.049885
44.136721	0.050985
44.213016	0.052009
44.289311	0.052901
44.365606	0.053638
44.441901	0.054232
44.518196	0.054731
44.594491	0.055271
44.670787	0.055832
44.747082	0.056091
44.823377	0.055709
44.899672	0.054668
44.975967	0.053053
45.052262	0.050532
45.128557	0.04652
45.204852	0.040671
45.281147	0.032961
45.357443	0.024035
45.433738	0.015122
45.510033	0.007272
45.586328	0.001903
45.662623	0.001272
45.738918	0.008139
45.815213	0.026169
45.891508	0.059356
45.967803	0.111969
