B2,G,DO,Dz,P1,P2,E
0.005,0.002,5,0.5,100,10,0.79466009896
0.0075,0.002,5,0.5,100,10,1.30668533519
0.01,0.002,5,0.5,100,10,1.56549009743
0.015,0.002,5,0.5,100,10,1.74337854203
0.02,0.002,5,0.5,100,10,1.78947156288
0.025,0.002,5,0.5,100,10,1.7823812601
0.03,0.002,5,0.5,100,10,1.74667199456
0.02,0.002,5,0.0,100,10,-1
0.02,0.002,5,0.1,100,10,0.346016525868
0.02,0.002,5,0.2,100,10,0.696187793454
0.02,0.002,5,0.3,100,10,1.05259617991
0.02,0.002,5,0.4,100,10,1.41678387565
0.02,0.002,5,0.5,100,10,1.78947156288
0.02,0.002,5,0.6,100,10,2.1706023964
0.02,0.0005,5,0.5,100,10,0.233253544231
0.02,0.001,5,0.5,100,10,0.766124423026
0.02,0.0015,5,0.5,100,10,1.30056666781
0.02,0.002,5,0.5,100,10,1.78947156288
0.02,0.0025,5,0.5,100,10,2.19934776007
0.02,0.003,5,0.5,100,10,2.47085120592
