B2,G,DO,Dz,P1,E
0.02,0.002,4,0.5,100,2.12192458916
0.02,0.002,5,0.5,100,1.78947156288
0.02,0.002,6,0.5,100,1.46079677818
0.02,0.002,7,0.5,100,1.17340830051
0.02,0.002,8,0.5,100,0.93290022713
0.02,0.002,9,0.5,100,0.734810632544
0.02,0.002,5,0.5,20,0.058021283909
0.02,0.002,5,0.5,30,0.162934370862
0.02,0.002,5,0.5,40,0.317412245942
0.02,0.002,5,0.5,50,0.507778602432
0.02,0.002,5,0.5,60,0.729144566258
0.02,0.002,5,0.5,70,0.971386845
0.02,0.002,5,0.5,80,1.2339644735
0.02,0.002,5,0.5,90,1.4967558419
0.02,0.002,5,0.5,100,1.78947156288
0.02,0.002,5,0.5,100,1.30821800898
0.02,0.002,5,0.5,100,1.78947156288
0.02,0.002,5,0.5,100,2.11191842931
0.02,0.002,5,0.5,100,2.36729658135
0.02,0.002,5,0.5,100,2.62924152858
0.02,0.002,5,0.5,100,2.83503469293
0.02,0.002,5,0.5,100,3.20642714865
0.02,0.002,5,0.5,100,3.58958365594
0.02,0.002,5,0.5,100,3.95277287982
0.02,0.002,5,0.5,100,4.32370124599
